0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
7,22,44,,,,,,,,,,,,,
7,23,229,,,,,,,,,,,,,
7,25,352,,,,,,,,,,,,,
7,28,110,182,401,,,,,,,,,,,
7,33,240,,,,,,,,,,,,,
7,34,334,,,,,,,,,,,,,
7,35,130,,,,,,,,,,,,,
7,42,56,,,,,,,,,,,,,
8,1,33,39,145,,,,,,,,,,,
8,15,55,,,,,,,,,,,,,
8,24,44,,,,,,,,,,,,,
8,25,229,,,,,,,,,,,,,
8,28,352,,,,,,,,,,,,,
8,31,110,182,,,,,,,,,,,,
8,32,401,,,,,,,,,,,,,
8,37,240,,,,,,,,,,,,,
8,39,130,,,,,,,,,,,,,
8,40,334,,,,,,,,,,,,,
8,47,56,,,,,,,,,,,,,
9,1,33,39,55,145,430,,,,,,,,,
9,24,44,,,,,,,,,,,,,
9,25,229,,,,,,,,,,,,,
9,28,352,,,,,,,,,,,,,
9,31,110,182,,,,,,,,,,,,
9,32,401,,,,,,,,,,,,,
9,42,130,240,,,,,,,,,,,,
9,46,334,,,,,,,,,,,,,
9,52,56,,,,,,,,,,,,,
10,1,33,81,,,,,,,,,,,,
10,15,450,,,,,,,,,,,,,
11,1,106,,,,,,,,,,,,,
12,1,93,,,,,,,,,,,,,
12,15,77,,,,,,,,,,,,,
12,16,78,,,,,,,,,,,,,
12,17,79,,,,,,,,,,,,,
12,21,48,,,,,,,,,,,,,
12,26,18,,,,,,,,,,,,,
12,28,16,,,,,,,,,,,,,
12,30,366,,,,,,,,,,,,,
12,32,60,,,,,,,,,,,,,
12,34,476,,,,,,,,,,,,,
12,36,445,,,,,,,,,,,,,
12,40,219,405,,,,,,,,,,,,
12,46,483,,,,,,,,,,,,,
12,47,318,,,,,,,,,,,,,
13,1,40,81,,,,,,,,,,,,
13,15,450,,,,,,,,,,,,,
14,1,106,,,,,,,,,,,,,
15,1,31,,,,,,,,,,,,,
15,16,116,,,,,,,,,,,,,
15,20,41,,,,,,,,,,,,,
15,25,99,390,,,,,,,,,,,,
15,30,42,228,,,,,,,,,,,,
15,34,372,,,,,,,,,,,,,
15,35,97,,,,,,,,,,,,,
15,37,398,,,,,,,,,,,,,
15,45,283,565,,,,,,,,,,,,
16,1,16,33,,,,,,,,,,,,
16,5,28,,,,,,,,,,,,,
16,12,98,,,,,,,,,,,,,
16,19,18,,,,,,,,,,,,,
16,21,239,,,,,,,,,,,,,
16,28,17,,,,,,,,,,,,,
16,31,297,,,,,,,,,,,,,
16,36,97,,,,,,,,,,,,,
16,37,355,,,,,,,,,,,,,
16,41,366,,,,,,,,,,,,,
16,44,119,,,,,,,,,,,,,
16,49,403,,,,,,,,,,,,,
16,53,542,,,,,,,,,,,,,
17,1,16,28,33,,,,,,,,,,,
17,12,98,,,,,,,,,,,,,
17,21,18,,,,,,,,,,,,,
17,22,239,,,,,,,,,,,,,
17,31,17,,,,,,,,,,,,,
17,34,297,,,,,,,,,,,,,
17,40,97,,,,,,,,,,,,,
17,42,355,,,,,,,,,,,,,
17,47,366,,,,,,,,,,,,,
17,49,119,,,,,,,,,,,,,
17,57,403,,,,,,,,,,,,,
17,62,542,,,,,,,,,,,,,
18,1,16,28,98,33,,,,,,,,,,
18,21,18,,,,,,,,,,,,,
18,22,239,,,,,,,,,,,,,
18,31,17,,,,,,,,,,,,,
18,34,297,,,,,,,,,,,,,
18,44,97,355,,,,,,,,,,,,
18,50,366,,,,,,,,,,,,,
18,54,119,,,,,,,,,,,,,
18,62,403,,,,,,,,,,,,,
18,68,542,,,,,,,,,,,,,
19,1,33,39,,,,,,,,,,,,
19,7,98,,,,,,,,,,,,,
19,10,44,,,,,,,,,,,,,
19,14,158,,,,,,,,,,,,,
19,19,389,,,,,,,,,,,,,
19,22,242,,,,,,,,,,,,,
19,23,116,,,,,,,,,,,,,
19,25,372,,,,,,,,,,,,,
19,27,228,,,,,,,,,,,,,
19,31,38,,,,,,,,,,,,,
19,34,162,,,,,,,,,,,,,
19,41,283,,,,,,,,,,,,,
20,1,33,39,98,14,,,,,,,,,,
20,10,44,,,,,,,,,,,,,
20,14,158,,,,,,,,,,,,,
20,19,389,,,,,,,,,,,,,
20,20,184,,,,,,,,,,,,,
20,24,242,,,,,,,,,,,,,
20,27,116,,,,,,,,,,,,,
20,29,372,,,,,,,,,,,,,
20,30,228,,,,,,,,,,,,,
20,39,38,,,,,,,,,,,,,
20,41,162,,,,,,,,,,,,,
20,50,283,,,,,,,,,,,,,
21,1,45,64,,,,,,,,,,,,
21,9,43,,,,,,,,,,,,,
21,15,31,,,,,,,,,,,,,
21,22,119,,,,,,,,,,,,,
21,25,228,332,,,,,,,,,,,,
21,29,65,372,,,,,,,,,,,,
21,33,355,,,,,,,,,,,,,
21,36,97,,,,,,,,,,,,,
22,1,43,45,64,365,,,,,,,,,,
22,15,31,,,,,,,,,,,,,
22,17,332,,,,,,,,,,,,,
22,25,119,,,,,,,,,,,,,
22,26,228,,,,,,,,,,,,,
22,34,65,,,,,,,,,,,,,
22,35,372,,,,,,,,,,,,,
22,41,355,,,,,,,,,,,,,
22,43,97,,,,,,,,,,,,,
22,53,529,,,,,,,,,,,,,
23,1,35,43,,,,,,,,,,,,
23,10,40,,,,,,,,,,,,,
23,17,44,,,,,,,,,,,,,
23,24,137,,,,,,,,,,,,,
23,28,426,,,,,,,,,,,,,
23,31,103,,,,,,,,,,,,,
23,33,380,,,,,,,,,,,,,
23,37,254,255,256,,,,,,,,,,,
23,38,51,562,,,,,,,,,,,,
23,41,441,,,,,,,,,,,,,
23,43,114,,,,,,,,,,,,,
23,44,489,,,,,,,,,,,,,
24,1,35,40,43,422,423,424,,,,,,,,
24,17,44,,,,,,,,,,,,,
24,22,242,,,,,,,,,,,,,
24,27,137,,,,,,,,,,,,,
24,32,491,,,,,,,,,,,,,
24,34,426,,,,,,,,,,,,,
24,36,103,,,,,,,,,,,,,
24,42,380,,,,,,,,,,,,,
24,46,254,255,256,,,,,,,,,,,
24,47,51,,,,,,,,,,,,,
24,48,562,,,,,,,,,,,,,
24,51,114,,,,,,,,,,,,,
24,56,441,489,,,,,,,,,,,,
25,1,45,84,,,,,,,,,,,,
25,6,39,,,,,,,,,,,,,
25,7,589,,,,,,,,,,,,,
25,9,86,,,,,,,,,,,,,
25,15,104,,,,,,,,,,,,,
25,16,98,,,,,,,,,,,,,
25,18,486,,,,,,,,,,,,,
25,20,21,,,,,,,,,,,,,
25,23,609,,,,,,,,,,,,,
25,26,129,85,209,,,,,,,,,,,
25,29,364,,,,,,,,,,,,,
25,33,97,,,,,,,,,,,,,
25,37,435,,,,,,,,,,,,,
25,43,87,,,,,,,,,,,,,
25,50,113,528,,,,,,,,,,,,
26,1,45,84,86,39,85,98,,,,,,,,
27,1,10,,,,,,,,,,,,,
27,6,111,,,,,,,,,,,,,
27,10,28,,,,,,,,,,,,,
27,13,229,,,,,,,,,,,,,
27,17,163,22,,,,,,,,,,,,
27,21,205,,,,,,,,,,,,,
27,24,40,,,,,,,,,,,,,
27,25,210,,,,,,,,,,,,,
27,30,91,,,,,,,,,,,,,
27,31,129,,,,,,,,,,,,,
27,33,360,,,,,,,,,,,,,
27,38,154,14,,,,,,,,,,,,
27,45,201,328,,,,,,,,,,,,
27,46,89,,,,,,,,,,,,,
28,1,10,28,111,,,,,,,,,,,
28,13,229,,,,,,,,,,,,,
28,17,163,222,,,,,,,,,,,,
28,21,205,,,,,,,,,,,,,
28,22,306,,,,,,,,,,,,,
28,27,40,,,,,,,,,,,,,
28,28,210,,,,,,,,,,,,,
28,30,91,,,,,,,,,,,,,
28,36,129,,,,,,,,,,,,,
28,38,14,,,,,,,,,,,,,
28,45,360,,,,,,,,,,,,,
28,46,89,,,,,,,,,,,,,
28,47,154,,,,,,,,,,,,,
28,52,201,328,,,,,,,,,,,,
29,1,33,45,,,,,,,,,,,,
29,8,10,,,,,,,,,,,,,
29,14,40,,,,,,,,,,,,,
29,21,39,,,,,,,,,,,,,
29,23,270,,,,,,,,,,,,,
29,29,44,,,,,,,,,,,,,
29,31,390,,,,,,,,,,,,,
29,36,154,,,,,,,,,,,,,
29,38,260,,,,,,,,,,,,,
29,43,24,445,,,,,,,,,,,,
29,45,305,,,,,,,,,,,,,
29,47,242,,,,,,,,,,,,,
30,1,10,33,45,,,,,,,,,,,
30,14,40,,,,,,,,,,,,,
30,23,39,,,,,,,,,,,,,
30,26,270,,,,,,,,,,,,,
30,32,44,,,,,,,,,,,,,
30,35,390,,,,,,,,,,,,,
30,41,154,,,,,,,,,,,,,
30,43,206,,,,,,,,,,,,,
30,50,24,445,,,,,,,,,,,,
30,53,242,,,,,,,,,,,,,
30,58,305,,,,,,,,,,,,,
31,1,10,33,34,39,,,,,,,,,,
31,12,24,,,,,,,,,,,,,
31,14,40,,,,,,,,,,,,,
31,23,498,,,,,,,,,,,,,
31,43,276,414,,,,,,,,,,,,
32,1,33,43,64,,,,,,,,,,,
32,8,30,,,,,,,,,,,,,
32,14,40,,,,,,,,,,,,,
32,21,116,,,,,,,,,,,,,
32,23,270,,,,,,,,,,,,,
32,29,31,,,,,,,,,,,,,
32,31,390,,,,,,,,,,,,,
32,36,32,,,,,,,,,,,,,
32,37,398,,,,,,,,,,,,,
32,38,260,,,,,,,,,,,,,
32,43,24,445,,,,,,,,,,,,
33,1,30,33,43,64,,,,,,,,,,
33,14,40,,,,,,,,,,,,,
33,23,116,,,,,,,,,,,,,
33,26,270,,,,,,,,,,,,,
33,32,31,,,,,,,,,,,,,
33,35,390,,,,,,,,,,,,,
33,41,32,,,,,,,,,,,,,
33,43,260,,,,,,,,,,,,,
33,50,24,,,,,,,,,,,,,
34,1,30,37,40,64,116,,,,,,,,,
34,12,24,,,,,,,,,,,,,
34,23,498,,,,,,,,,,,,,
34,43,224,414,,,,,,,,,,,,
35,1,1,45,574,,,,,,,,,,,
35,4,227,,,,,,,,,,,,,
35,13,47,,,,,,,,,,,,,
35,17,266,,,,,,,,,,,,,
35,18,3,,,,,,,,,,,,,
35,22,358,,,,,,,,,,,,,
35,24,107,,,,,,,,,,,,,
35,25,516,,,,,,,,,,,,,
35,28,381,,,,,,,,,,,,,
35,31,118,,,,,,,,,,,,,
35,33,322,,,,,,,,,,,,,
35,34,356,,,,,,,,,,,,,
35,39,111,,,,,,,,,,,,,
35,40,34,,,,,,,,,,,,,
35,43,236,500,,,,,,,,,,,,
35,45,309,,,,,,,,,,,,,
35,46,361,585,,,,,,,,,,,,
35,48,113,,,,,,,,,,,,,
35,52,495,,,,,,,,,,,,,
36,1,3,47,107,118,236,574,,,,,,,,
37,1,39,52,,,,,,,,,,,,
37,9,608,,,,,,,,,,,,,
37,16,98,,,,,,,,,,,,,
37,17,261,,,,,,,,,,,,,
37,20,185,,,,,,,,,,,,,
37,21,46,,,,,,,,,,,,,
37,24,481,,,,,,,,,,,,,
37,25,219,286,,,,,,,,,,,,
37,28,109,506,,,,,,,,,,,,
37,31,371,,,,,,,,,,,,,
37,35,53,,,,,,,,,,,,,
37,37,288,445,,,,,,,,,,,,
37,42,83,,,,,,,,,,,,,
37,44,326,517,,,,,,,,,,,,
37,47,126,,,,,,,,,,,,,
38,1,39,46,52,98,109,219,417,53,286,,,,,
38,43,83,,,,,,,,,,,,,
39,1,47,,,,,,,,,,,,,
39,9,1,,,,,,,,,,,,,
39,10,589,,,,,,,,,,,,,
39,14,50,,,,,,,,,,,,,
39,17,496,,,,,,,,,,,,,
39,19,111,205,,,,,,,,,,,,
39,24,3,,,,,,,,,,,,,
39,29,156,,,,,,,,,,,,,
39,33,360,,,,,,,,,,,,,
39,34,34,,,,,,,,,,,,,
39,37,358,,,,,,,,,,,,,
39,39,38,102,,,,,,,,,,,,
39,44,304,,,,,,,,,,,,,
39,50,574,,,,,,,,,,,,,
40,1,3,47,50,111,38,583,,,,,,,,
41,1,141,,,,,,,,,,,,,
41,10,48,,,,,,,,,,,,,
41,11,310,,,,,,,,,,,,,
41,15,44,,,,,,,,,,,,,
41,21,109,,,,,,,,,,,,,
41,23,129,,,,,,,,,,,,,
41,28,17,,,,,,,,,,,,,
41,31,314,,,,,,,,,,,,,
41,33,512,,,,,,,,,,,,,
41,36,114,212,,,,,,,,,,,,
41,37,474,,,,,,,,,,,,,
41,41,305,403,,,,,,,,,,,,
41,43,501,,,,,,,,,,,,,
42,1,44,103,141,310,,,,,,,,,,
42,10,48,,,,,,,,,,,,,
42,21,109,,,,,,,,,,,,,
42,24,129,,,,,,,,,,,,,
42,32,17,,,,,,,,,,,,,
42,35,314,,,,,,,,,,,,,
42,39,512,,,,,,,,,,,,,
42,42,212,,,,,,,,,,,,,
42,43,114,474,,,,,,,,,,,,
42,49,305,,,,,,,,,,,,,
42,51,403,501,,,,,,,,,,,,
43,1,71,,,,,,,,,,,,,
43,7,230,,,,,,,,,,,,,
43,15,77,,,,,,,,,,,,,
43,17,78,,,,,,,,,,,,,
43,19,79,,,,,,,,,,,,,
43,21,72,,,,,,,,,,,,,
43,24,51,,,,,,,,,,,,,
43,25,381,,,,,,,,,,,,,
43,29,363,,,,,,,,,,,,,
43,32,236,,,,,,,,,,,,,
43,33,80,,,,,,,,,,,,,
43,35,92,,,,,,,,,,,,,
43,37,202,,,,,,,,,,,,,
43,43,585,,,,,,,,,,,,,
43,45,580,,,,,,,,,,,,,
43,46,76,,,,,,,,,,,,,
44,1,71,77,78,230,,,,,,,,,,
44,19,79,,,,,,,,,,,,,
44,23,72,,,,,,,,,,,,,
44,28,51,,,,,,,,,,,,,
44,29,381,,,,,,,,,,,,,
44,35,236,363,,,,,,,,,,,,
44,38,80,,,,,,,,,,,,,
44,39,92,,,,,,,,,,,,,
44,47,202,,,,,,,,,,,,,
44,50,572,,,,,,,,,,,,,
44,52,76,,,,,,,,,,,,,
44,56,580,,,,,,,,,,,,,
45,1,51,78,79,80,71,230,72,312,,,,,,
45,15,77,,,,,,,,,,,,,
45,50,572,,,,,,,,,,,,,
45,65,76,,,,,,,,,,,,,
46,1,10,,,,,,,,,,,,,
46,13,78,77,,,,,,,,,,,,
46,17,210,,,,,,,,,,,,,
46,20,141,,,,,,,,,,,,,
46,27,147,,,,,,,,,,,,,
46,34,163,,,,,,,,,,,,,
46,41,74,,,,,,,,,,,,,
46,43,202,404,,,,,,,,,,,,
46,49,312,476,,,,,,,,,,,,
47,1,10,78,141,77,440,,,,,,,,,
47,17,210,,,,,,,,,,,,,
47,30,147,,,,,,,,,,,,,
47,39,163,,,,,,,,,,,,,
47,48,74,,,,,,,,,,,,,
47,55,202,404,,,,,,,,,,,,
47,59,312,476,,,,,,,,,,,,
48,1,33,,,,,,,,,,,,,
48,11,48,,,,,,,,,,,,,
48,19,93,,,,,,,,,,,,,
48,24,77,,,,,,,,,,,,,
48,27,141,,,,,,,,,,,,,
48,30,78,,,,,,,,,,,,,
48,35,60,324,,,,,,,,,,,,
48,37,428,,,,,,,,,,,,,
48,38,79,,,,,,,,,,,,,
48,41,305,,,,,,,,,,,,,
48,43,94,,,,,,,,,,,,,
49,1,33,50,77,141,48,93,193,318,,,,,,
49,30,78,,,,,,,,,,,,,
49,31,16,,,,,,,,,,,,,
49,37,324,,,,,,,,,,,,,
49,38,60,,,,,,,,,,,,,
49,41,428,,,,,,,,,,,,,
49,43,79,,,,,,,,,,,,,
49,47,305,,,,,,,,,,,,,
49,50,94,,,,,,,,,,,,,
49,59,405,,,,,,,,,,,,,
49,63,483,,,,,,,,,,,,,
50,1,10,,,,,,,,,,,,,
50,7,310,,,,,,,,,,,,,
50,9,222,,,,,,,,,,,,,
50,15,45,,,,,,,,,,,,,
50,18,523,,,,,,,,,,,,,
50,19,91,,,,,,,,,,,,,
50,21,154,,,,,,,,,,,,,
50,23,389,,,,,,,,,,,,,
50,24,28,,,,,,,,,,,,,
50,25,189,,,,,,,,,,,,,
50,26,414,,,,,,,,,,,,,
50,29,426,,,,,,,,,,,,,
50,31,163,,,,,,,,,,,,,
50,40,89,,,,,,,,,,,,,
50,49,90,,,,,,,,,,,,,
51,1,10,45,91,222,161,400,563,,,,,,,
51,7,310,,,,,,,,,,,,,
51,18,523,,,,,,,,,,,,,
51,21,154,,,,,,,,,,,,,
51,23,389,,,,,,,,,,,,,
51,24,28,,,,,,,,,,,,,
51,25,189,,,,,,,,,,,,,
51,26,328,,,,,,,,,,,,,
51,28,414,,,,,,,,,,,,,
51,33,426,,,,,,,,,,,,,
51,35,163,,,,,,,,,,,,,
51,47,89,,,,,,,,,,,,,
51,61,90,,,,,,,,,,,,,
52,1,10,45,,,,,,,,,,,,
52,12,44,,,,,,,,,,,,,
52,17,6,,,,,,,,,,,,,
52,24,103,,,,,,,,,,,,,
52,25,269,,,,,,,,,,,,,
52,28,185,,,,,,,,,,,,,
52,33,154,,,,,,,,,,,,,
52,38,417,,,,,,,,,,,,,
52,41,372,,,,,,,,,,,,,
52,44,163,,,,,,,,,,,,,
52,45,207,,,,,,,,,,,,,
52,46,445,,,,,,,,,,,,,
52,49,400,,,,,,,,,,,,,
52,50,252,,,,,,,,,,,,,
52,54,364,,,,,,,,,,,,,
53,1,10,44,45,103,415,583,,,,,,,,
53,17,6,,,,,,,,,,,,,
53,25,269,,,,,,,,,,,,,
53,28,129,,,,,,,,,,,,,
53,29,185,,,,,,,,,,,,,
53,32,408,,,,,,,,,,,,,
53,37,154,,,,,,,,,,,,,
53,44,417,,,,,,,,,,,,,
53,49,372,,,,,,,,,,,,,
53,51,163,,,,,,,,,,,,,
53,56,445,,,,,,,,,,,,,
53,59,252,,,,,,,,,,,,,
53,61,207,400,,,,,,,,,,,,
53,68,364,,,,,,,,,,,,,
54,1,10,346,,,,,,,,,,,,
54,9,55,,,,,,,,,,,,,
54,22,352,,,,,,,,,,,,,
54,23,103,,,,,,,,,,,,,
54,28,39,,,,,,,,,,,,,
54,31,50,244,,,,,,,,,,,,
54,32,401,,,,,,,,,,,,,
54,35,487,,,,,,,,,,,,,
54,36,93,,,,,,,,,,,,,
54,40,428,,,,,,,,,,,,,
54,43,154,,,,,,,,,,,,,
54,44,133,,,,,,,,,,,,,
54,52,56,,,,,,,,,,,,,
54,57,472,,,,,,,,,,,,,
55,1,10,39,50,346,55,453,,,,,,,,
55,22,352,,,,,,,,,,,,,
55,23,103,,,,,,,,,,,,,
55,31,244,,,,,,,,,,,,,
55,32,401,,,,,,,,,,,,,
55,37,487,,,,,,,,,,,,,
55,39,93,,,,,,,,,,,,,
55,44,428,,,,,,,,,,,,,
55,48,154,,,,,,,,,,,,,
55,50,133,,,,,,,,,,,,,
55,59,56,,,,,,,,,,,,,
55,69,472,,,,,,,,,,,,,
56,1,10,43,343,,,,,,,,,,,
56,9,67,,,,,,,,,,,,,
56,15,2,,,,,,,,,,,,,
56,21,154,,,,,,,,,,,,,
56,25,372,,,,,,,,,,,,,
56,27,116,,,,,,,,,,,,,
56,33,69,,,,,,,,,,,,,
56,36,207,,,,,,,,,,,,,
56,39,37,238,,,,,,,,,,,,
56,45,103,386,,,,,,,,,,,,
56,49,370,,,,,,,,,,,,,
56,53,515,,,,,,,,,,,,,
57,1,2,10,43,154,67,374,,,,,,,,
57,25,372,,,,,,,,,,,,,
57,27,116,,,,,,,,,,,,,
57,28,99,,,,,,,,,,,,,
57,37,69,,,,,,,,,,,,,
57,44,207,,,,,,,,,,,,,
57,45,103,238,,,,,,,,,,,,
57,46,37,,,,,,,,,,,,,
57,53,386,,,,,,,,,,,,,
57,59,370,,,,,,,,,,,,,
57,63,515,,,,,,,,,,,,,
58,1,44,46,,,,,,,,,,,,
58,18,52,,,,,,,,,,,,,
58,19,316,,,,,,,,,,,,,
58,23,43,,,,,,,,,,,,,
58,25,179,,,,,,,,,,,,,
58,28,424,,,,,,,,,,,,,
58,30,36,,,,,,,,,,,,,
58,31,481,,,,,,,,,,,,,
58,34,172,,,,,,,,,,,,,
58,37,270,,,,,,,,,,,,,
58,39,97,,,,,,,,,,,,,
58,42,242,,,,,,,,,,,,,
58,43,200,,,,,,,,,,,,,
58,45,257,,,,,,,,,,,,,
58,48,394,514,,,,,,,,,,,,
58,50,53,,,,,,,,,,,,,
59,1,36,43,46,52,172,44,316,422,424,,,,,
59,50,245,,,,,,,,,,,,,
60,1,145,346,,,,,,,,,,,,
60,16,95,,,,,,,,,,,,,
60,19,55,,,,,,,,,,,,,
60,25,3,240,61,,,,,,,,,,,
60,28,341,,,,,,,,,,,,,
60,31,34,,,,,,,,,,,,,
60,35,358,,,,,,,,,,,,,
60,37,187,,,,,,,,,,,,,
60,38,133,,,,,,,,,,,,,
60,41,426,,,,,,,,,,,,,
60,45,56,,,,,,,,,,,,,
61,1,55,95,145,346,,,,,,,,,,
61,26,3,,,,,,,,,,,,,
61,27,240,61,,,,,,,,,,,,
61,32,341,,,,,,,,,,,,,
61,33,34,,,,,,,,,,,,,
61,41,133,,,,,,,,,,,,,
61,43,187,358,,,,,,,,,,,,
61,49,56,,,,,,,,,,,,,
61,53,426,,,,,,,,,,,,,
62,1,3,34,55,95,66,61,,,,,,,,
62,43,223,,,,,,,,,,,,,
62,51,170,,,,,,,,,,,,,
62,53,509,,,,,,,,,,,,,
63,1,100,,,,,,,,,,,,,
64,1,50,93,100,134,,,,,,,,,,
64,22,357,,,,,,,,,,,,,
64,24,502,,,,,,,,,,,,,
64,27,60,,,,,,,,,,,,,
64,31,105,248,,,,,,,,,,,,
64,33,272,,,,,,,,,,,,,
64,34,427,477,,,,,,,,,,,,
64,38,94,,,,,,,,,,,,,
64,42,115,,,,,,,,,,,,,
64,43,271,,,,,,,,,,,,,
65,1,50,93,100,134,,,,,,,,,,
65,22,357,,,,,,,,,,,,,
65,24,502,,,,,,,,,,,,,
65,27,60,,,,,,,,,,,,,
65,31,105,248,,,,,,,,,,,,
65,33,347,,,,,,,,,,,,,
65,34,427,477,,,,,,,,,,,,
65,38,94,,,,,,,,,,,,,
65,42,115,,,,,,,,,,,,,
65,43,271,,,,,,,,,,,,,
66,1,2,,,,,,,,,,,,,
66,13,490,,,,,,,,,,,,,
66,20,67,,,,,,,,,,,,,
66,21,282,,,,,,,,,,,,,
66,25,43,193,279,,,,,,,,,,,
66,31,233,530,,,,,,,,,,,,
66,32,116,,,,,,,,,,,,,
66,34,358,,,,,,,,,,,,,
66,37,238,,,,,,,,,,,,,
66,39,69,,,,,,,,,,,,,
66,43,184,,,,,,,,,,,,,
66,46,66,,,,,,,,,,,,,
66,49,223,,,,,,,,,,,,,
67,1,2,43,67,,,,,,,,,,,
67,13,490,,,,,,,,,,,,,
67,21,282,,,,,,,,,,,,,
67,25,193,279,,,,,,,,,,,,
67,33,530,,,,,,,,,,,,,
67,34,233,,,,,,,,,,,,,
67,36,116,358,,,,,,,,,,,,
67,43,238,339,,,,,,,,,,,,
67,44,69,,,,,,,,,,,,,
67,52,66,184,,,,,,,,,,,,
67,59,223,,,,,,,,,,,,,
68,1,2,43,67,469,,,,,,,,,,
68,13,490,,,,,,,,,,,,,
68,21,282,,,,,,,,,,,,,
68,25,193,279,,,,,,,,,,,,
68,33,530,,,,,,,,,,,,,
68,34,233,,,,,,,,,,,,,
68,36,116,358,,,,,,,,,,,,
68,43,238,339,,,,,,,,,,,,
68,44,69,,,,,,,,,,,,,
68,52,66,184,,,,,,,,,,,,
68,59,223,,,,,,,,,,,,,
69,1,22,74,,,,,,,,,,,,
69,13,35,,,,,,,,,,,,,
69,15,77,,,,,,,,,,,,,
69,18,79,,,,,,,,,,,,,
69,21,78,,,,,,,,,,,,,
69,26,51,,,,,,,,,,,,,
69,27,282,,,,,,,,,,,,,
69,30,230,,,,,,,,,,,,,
69,33,75,,,,,,,,,,,,,
69,35,380,,,,,,,,,,,,,
69,42,21,,,,,,,,,,,,,
69,47,378,,,,,,,,,,,,,
70,1,22,35,74,,,,,,,,,,,
70,15,77,,,,,,,,,,,,,
70,18,79,,,,,,,,,,,,,
70,23,78,,,,,,,,,,,,,
70,27,282,,,,,,,,,,,,,
70,29,51,,,,,,,,,,,,,
70,33,230,,,,,,,,,,,,,
70,35,380,,,,,,,,,,,,,
70,38,75,,,,,,,,,,,,,
70,47,378,,,,,,,,,,,,,
70,49,21,,,,,,,,,,,,,
71,1,51,75,78,79,22,230,254,255,256,,,,,
71,13,35,,,,,,,,,,,,,
71,15,77,,,,,,,,,,,,,
71,27,536,,,,,,,,,,,,,
71,47,437,348,,,,,,,,,,,,
72,1,51,,,,,,,,,,,,,
72,7,48,,,,,,,,,,,,,
72,13,35,,,,,,,,,,,,,
72,15,390,,,,,,,,,,,,,
72,18,40,,,,,,,,,,,,,
72,22,55,,,,,,,,,,,,,
72,25,61,,,,,,,,,,,,,
72,26,491,,,,,,,,,,,,,
72,27,132,,,,,,,,,,,,,
72,29,352,,,,,,,,,,,,,
72,33,112,398,,,,,,,,,,,,
